threshold,accuracy,precision,recall,f1
0.0,0.6159878659984173,0.5656383509131241,0.9995251912424162,0.7224417968385068
0.05,0.6331337378000528,0.5768529149320413,0.9992930625164864,0.7314615831677643
0.1,0.6509285149037194,0.5889814034356523,0.9990187285676603,0.7410622215351983
0.15000000000000002,0.6691611711949353,0.6019684851568587,0.9986388815615932,0.7511512782611285
0.2,0.6874307570561857,0.6156317230111279,0.9978950145080454,0.7614820540381686
0.25,0.7061197573199683,0.6303245605257013,0.9969137430757056,0.7723259901091265
0.30000000000000004,0.7255420733315748,0.6464578986855223,0.9955315220258507,0.7838896008540812
0.35000000000000003,0.7446241097335795,0.6632768401370486,0.9937325243998945,0.7955534625594198
0.4,0.764062252703772,0.6815356158421587,0.9913637562648377,0.8077589356717605
0.45,0.7831522025850699,0.7008821801114609,0.9879240305987866,0.8200092396147387
0.5,0.8020073859140069,0.7218688835920393,0.9826061725138486,0.8322947504831701
0.55,0.8197230282247429,0.7438291845873449,0.9753521498285412,0.8440010134695581
0.6000000000000001,0.8365892904246901,0.7677239862865967,0.9652017937219731,0.8552109700203572
0.65,0.8516090741229227,0.7931119408564555,0.95139541018201,0.8650729500706356
0.7000000000000001,0.8612767079926141,0.8190280081247787,0.9274914270640991,0.8698917867798773
0.75,0.8633948826167238,0.8458757425270272,0.8887206541809549,0.8667690589939311
0.8,0.8584463202321287,0.8748296692687502,0.836591928251121,0.8552836319997842
0.8500000000000001,0.8416064362964917,0.9033632552373715,0.7650540754418359,0.828475858306268
0.9,0.8156581376945397,0.9352377211359404,0.6782854128198365,0.7863018390200047
0.9500000000000001,0.7673173305196518,0.9693926705450773,0.5520654180954894,0.7034938050003698
1.0,0.5,0.0,0.0,0.0
